id,country,city,district,address,rooms,area,floor,series,price,price_per_meter,has_geocode,latt,longt,stnumber,staddress,created,last_seen
1,Latvia,Riga,Centrs,Blaumaņa 12,2,45,3,Renovēts,109515,2433.67,1,56.95464,24.12233,12.0,Blaumaņa iela,07/06/2019 08:01,16/06/2019 08:01
2,Latvia,Riga,Citi,Dārzciema 131,3,63,1,103. sērija,70000,1111.11,1,56.93236,24.1822,131.0,DArzciema iela,07/06/2019 08:01,11/06/2019 08:00
3,Latvia,Riga,Centrs,Skolas 25,4,126,4,Pirmskara projekts,185000,1468.25,1,56.95923,24.12094,25.0,Skolas iela,07/06/2019 08:01,16/06/2019 08:01
4,Latvia,Riga,Ziepniekkalns,Bauskas 45,4,102,4,Jaunais projekts,138000,1352.94,1,56.9158,24.13769,145.0,Bauskas iela,07/06/2019 08:01,16/06/2019 08:01
5,Latvia,Riga,Ziepniekkalns,Ozolciema 12,3,76,9,119. sērija,75100,988.16,1,56.90133,24.08885,12.0,Ozolciema iela,07/06/2019 08:01,16/06/2019 08:01
6,Latvia,Riga,Imanta,Slokas 191,2,49,5,Lietuviešu projekts,36500,744.9,1,56.96332,24.01822,191.0,Slokas iela,07/06/2019 08:01,16/06/2019 08:01
7,Latvia,Riga,Teika,Laimdotas 57,2,42,1,Hruščova projekts,38000,904.76,1,56.96816,24.18722,57.0,Laimdotas iela,07/06/2019 08:01,16/06/2019 08:01
8,Latvia,Riga,Centrs,Tallinas 23,3,82,2,Pirmskara projekts,110000,1341.46,1,56.96386,24.13614,23.0,Tallinas iela,07/06/2019 08:01,16/06/2019 08:01
9,Latvia,Riga,Centrs,Valdemāra 71,5,110,6,Pirmskara projekts,199900,1817.27,1,56.96202,24.123,71.0,Krišjāņa Valdemāra iela,07/06/2019 08:01,16/06/2019 08:01
10,Latvia,Riga,Mežaparks,Ezermalas 27,2,52,8,Specprojekts,65000,1250.0,1,57.00106,24.16941,27.0,Ezermalas iela,07/06/2019 08:01,16/06/2019 08:01
11,Latvia,Riga,Centrs,Čaka 70,1,56,7,Pirmskara projekts,78500,1401.79,1,56.95576,24.13576,70.0,Aleksandra Čaka iela,07/06/2019 08:01,16/06/2019 08:01
12,Latvia,Riga,Centrs,Ganību d. 15,3,86,5,Pirmskara projekts,109600,1274.42,1,56.97362,24.11071,15.0,Ganību dambis,07/06/2019 08:01,16/06/2019 08:01
13,Latvia,Riga,Centrs,Ganību d. 15,1,32,5,Pirmskara projekts,43200,1350.0,1,56.97362,24.11071,15.0,Ganību dambis,07/06/2019 08:01,16/06/2019 08:01
14,Latvia,Riga,Centrs,Ganību d. 15,1,33,3,Pirmskara projekts,32400,981.82,1,56.97362,24.11071,15.0,Ganību dambis,07/06/2019 08:01,16/06/2019 08:01
15,Latvia,Riga,Maskavas priekšpilsēta,Daugavpils 49,1,29,5,Pirmskara projekts,22900,789.66,1,56.94555,24.14086,49.0,Daugavpils iela,07/06/2019 08:01,16/06/2019 08:01
16,Latvia,Riga,Centrs,Kalniņa 6,2,46,5,Renovēts,123000,2673.91,1,56.94975,24.12081,6.0,Alfrēda Kalniņa iela,07/06/2019 08:01,16/06/2019 08:01
17,Latvia,Riga,Purvciems,Ilūkstes 109,3,59,5,467. sērija,75000,1271.19,1,56.95479,24.19613,109.0,Ilūkstes iela,07/06/2019 08:01,16/06/2019 08:01
18,Latvia,Riga,Citi,Balasta d. 72,4,178,1,Jaunais projekts,430000,2415.73,1,56.9587,24.08421,72.0,Balasta dambis,07/06/2019 08:01,16/06/2019 08:01
19,Latvia,Riga,Jugla,Silciema 25,3,79,2,Privātmāja,52900,669.62,1,56.98358,24.24035,25.0,Silciema iela,07/06/2019 08:01,16/06/2019 08:01
20,Latvia,Riga,Jugla,Murjāņu 34,3,58,5,Hruščova projekts,49800,858.62,1,56.97948,24.24709,34.0,Murjāņu iela,07/06/2019 08:01,16/06/2019 08:01
21,Latvia,Riga,Ķengarags,Aviācijas 1,2,51,1,Lietuviešu projekts,45900,900.0,1,56.90662,24.19378,1.0,Aviācijas iela,07/06/2019 08:01,16/06/2019 08:01
23,Latvia,Riga,Centrs,Birznieka-Upīša 13,3,76,3,Jaunais projekts,211000,2776.32,1,56.94911,24.12647,13.0,Ernesta Birznieka-Upīša iela,07/06/2019 08:01,16/06/2019 08:01
24,Latvia,Riga,Iļģuciems,Buļļu 31,3,61,5,Lietuviešu projekts,55000,901.64,1,56.96719,24.05551,31.0,Buļļu iela,07/06/2019 08:01,16/06/2019 08:01
25,Latvia,Riga,Bolderāja,Silikātu 4,4,101,3,Staļina projekts,70000,693.07,1,57.02865,24.04188,4.0,Silikātu iela,07/06/2019 08:01,16/06/2019 08:01
26,Latvia,Riga,Ķengarags,Aviācijas 5,2,50,3,Lietuviešu projekts,38000,760.0,1,56.90607,24.19555,5.0,Aviācijas iela,07/06/2019 08:01,16/06/2019 08:01
27,Latvia,Riga,Imanta,Anniņmuižas 38,3,100,4,Jaunais projekts,132000,1320.0,1,56.96097,24.01567,38.0,Anniņmuižas bulvāris,07/06/2019 08:01,16/06/2019 08:01
29,Latvia,Riga,Citi,Tapešu 44,1,30,5,Lietuviešu projekts,27000,900.0,1,56.95591,24.04637,44.0,Tapešu iela,07/06/2019 08:01,10/06/2019 08:01
30,Latvia,Riga,Centrs,Ganību d. 13,4,85,5,103. sērija,100000,1176.47,1,56.9736,24.10936,13.0,Ganību dambis,07/06/2019 08:01,16/06/2019 08:01
33,Latvia,Riga,Centrs,Silmaču 1,2,43,1,Jaunais projekts,84120,1956.28,1,56.96882,24.148,1.0,Silmaču iela,07/06/2019 08:01,16/06/2019 08:01
34,Latvia,Riga,Centrs,Silmaču 1,2,50,1,Jaunais projekts,95280,1905.6,1,56.96882,24.148,1.0,Silmaču iela,07/06/2019 08:01,16/06/2019 08:01
35,Latvia,Riga,Purvciems,Stirnu 57,2,44,1,Lietuviešu projekts,47900,1088.64,1,56.96472,24.1921,57.0,Stirnu iela,07/06/2019 08:01,16/06/2019 08:01
36,Latvia,Riga,Centrs,Skolas 20,3,99,3,Jaunais projekts,260000,2626.26,1,56.9581,24.11952,20.0,Skolas iela,07/06/2019 08:01,16/06/2019 08:01
37,Latvia,Riga,Āgenskalns,Melnsila 21,2,41,2,Hruščova projekts,43000,1048.78,1,56.94501,24.06433,21.0,Melnsila iela,07/06/2019 08:01,16/06/2019 08:01
38,Latvia,Riga,Imanta,M. Krūmu 18,2,50,9,602. sērija,47500,950.0,1,56.96108,24.00385,18.0,Mazā Krūmu iela,07/06/2019 08:01,16/06/2019 08:01
39,Latvia,Riga,Sarkandaugava,Tvaika 24,3,70,5,103. sērija,66500,950.0,1,57.00116,24.11861,24.0,Tvaika iela,07/06/2019 08:01,13/06/2019 08:01
40,Latvia,Riga,Purvciems,Viršu 7,2,59,2,119. sērija,53000,898.31,1,56.95197,24.17878,7.0,Viršu iela,07/06/2019 08:01,16/06/2019 08:01
41,Latvia,Riga,Ziepniekkalns,Svētes 1,3,99,1,Jaunais projekts,164000,1656.57,1,56.91525,24.09482,1.0,Svētes iela,07/06/2019 08:01,16/06/2019 08:01
43,Latvia,Riga,Centrs,Stabu 46,3,74,3,Pirmskara projekts,135000,1824.32,1,56.95459,24.13173,46.0,Stabu iela,07/06/2019 08:01,16/06/2019 08:01
45,Latvia,Riga,Āgenskalns,Mūkusalas 25,3,61,6,Jaunais projekts,155000,2540.98,1,56.93753,24.10056,25.0,Mūkusalas iela,07/06/2019 08:01,16/06/2019 08:01
47,Latvia,Riga,Āgenskalns,Gregora 4,1,30,5,Lietuviešu projekts,29500,983.33,1,56.94535,24.052,4.0,Gregora iela,07/06/2019 08:01,16/06/2019 08:01
48,Latvia,Riga,Purvciems,Andromedas g. 12,3,54,1,Lietuviešu projekts,58150,1076.85,1,56.95745,24.20126,12.0,Andromedas gatve,07/06/2019 08:01,16/06/2019 08:01
49,Latvia,Riga,Ziepniekkalns,Ozolciema 54,1,44,4,Mazģimeņu projekts,37500,852.27,1,56.90138,24.0998,54.0,Ozolciema iela,07/06/2019 08:01,16/06/2019 08:01
51,Latvia,Riga,Bolderāja,Lemešu 3,3,66,2,Lietuviešu projekts,39000,590.91,1,57.03375,24.05749,3.0,Lemešu iela,07/06/2019 08:01,09/06/2019 08:01
52,Latvia,Riga,Purvciems,Deglava 106,4,99,9,119. sērija,103000,1040.4,1,56.94811,24.19022,106.0,Augusta Deglava iela,07/06/2019 08:01,16/06/2019 08:01
53,Latvia,Riga,Centrs,Valmieras 39,1,31,2,Pirmskara projekts,28500,919.35,1,56.95079,24.14854,39.0,Valmieras iela,07/06/2019 08:01,16/06/2019 08:01
54,Latvia,Riga,Āgenskalns,Vienības g. 44,3,59,2,Privātmāja,26000,440.68,1,56.92549,24.09049,44.0,Vienības gatve,07/06/2019 08:01,16/06/2019 08:01
55,Latvia,Riga,Purvciems,Pūces 43,3,151,10,Jaunais projekts,235000,1556.29,1,56.95307,24.18944,43.0,Pūces iela,07/06/2019 08:01,16/06/2019 08:01
